trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-193.91289254394107,"{0: 21, 1: 1, 2: 3, 3: 1, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,1,-105.67024837666143,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-114.6820614599365,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-191.82917324227844,"{0: 16, 1: 6, 2: 4, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-217.87950161468154,"{0: 15, 1: 3, 2: 6, 3: 4, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-101.90682256621216,"{0: 8, 1: 7, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-136.04400809636644,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-144.76017621457424,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-143.4936245123136,"{0: 18, 1: 5, 2: 4, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-30.607223158916455,"{0: 18, 1: 5, 2: 1, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-29.1432581544439,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-18.74808860015935,"{0: 14, 1: 5, 2: 1, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-95.40683597802987,"{0: 13, 1: 8, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-61.41522919698689,"{0: 13, 1: 5, 2: 0, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-152.49786916418472,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 4}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-9.97352681075827,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-39.651593103185,"{0: 20, 1: 1, 2: 2, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-0.18289040788078426,"{0: 20, 1: 4, 2: 1, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",35,0,13.481929322888508,"{0: 33, 1: 0, 2: 1, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,8,29.04710230880724,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,10,-19.873697759455208,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",25,0,13.808594552991904,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,14,0.40531129740771266,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,0,-24.221390526933035,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",25,7,-0.40289857883611013,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,0,-32.11127989987679,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",30,0,36.67694105468529,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,19.311094445207452,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",30,10,32.846549164661326,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,4,16.254366681357766,"{0: 25, 1: 0, 2: 0, 3: 1, 4: 0}",1
