trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",35,0,-110.96892476897588,"{0: 27, 1: 1, 2: 4, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9908545761214067}",25,0,-183.1765472099564,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.9843733826418407}",35,0,-140.62157327011784,"{0: 21, 1: 3, 2: 9, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9753708708027763}",20,0,-112.58655385542066,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9702635920685146}",20,0,-83.71278441559188,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9651830562859345}",25,0,-160.57779177190878,"{0: 13, 1: 3, 2: 4, 3: 4, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9588697805724845}",25,0,-151.64633168074693,"{0: 14, 1: 6, 2: 2, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.9525978000827484}",25,0,-90.85153419799495,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9463668447040968}",25,0,-76.25546082788449,"{0: 14, 1: 7, 2: 2, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.940176646090711}",20,0,-42.62479276530834,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.9352536528634513}",20,0,-71.86078291891674,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.9303564376242073}",30,0,-168.3785956426762,"{0: 22, 1: 1, 2: 3, 3: 0, 4: 4}",0
13,False,"{'a': 0.5, 'e': 0.9230586534179107}",25,0,-75.36487272490876,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9170209140059306}",35,0,-329.96901511936636,"{0: 14, 1: 5, 2: 10, 3: 1, 4: 5}",0
15,False,"{'a': 0.5, 'e': 0.9086343690418112}",35,0,-164.4426300097934,"{0: 16, 1: 10, 2: 7, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9003245225862656}",25,0,-114.73792136946054,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.8944354874383222}",20,0,-49.11977985803473,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.8897520060253465}",20,0,-164.79193860876754,"{0: 9, 1: 4, 2: 3, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.8850930484583651}",20,13,2.0156056312575807,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.8834681832838857}",20,4,-106.24764638962272,"{0: 7, 1: 6, 2: 1, 3: 0, 4: 2}",1
21,False,"{'a': 0.5, 'e': 0.8797653982058496}",20,0,-128.8978364056688,"{0: 13, 1: 2, 2: 1, 3: 2, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.8751587329425146}",20,0,-95.05293480363349,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.8705761892971605}",20,0,-40.83231946217977,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.8660176409631382}",25,0,-141.6771110995738,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.8603530076021355}",25,11,-49.20697804589871,"{0: 8, 1: 1, 2: 4, 3: 1, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.8571970129912677}",20,0,-61.634924434127285,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
