trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-102.73160365911119,"{0: 10, 1: 3, 2: 4, 3: 3, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-39.58450853065479,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-118.73549735019759,"{0: 17, 1: 6, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-40.49608341622519,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-44.43643905317181,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,3,-46.87201579022516,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-69.38817938877047,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-171.34975453377194,"{0: 14, 1: 2, 2: 4, 3: 3, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,5,-84.52905772857773,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-89.26864448802662,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-68.76345134028058,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-124.54384759454477,"{0: 18, 1: 0, 2: 3, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-47.48525516095346,"{0: 14, 1: 3, 2: 1, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-132.29097931732682,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-129.6493687223404,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-169.82613318439564,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-67.5543197049744,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-125.17177277921616,"{0: 9, 1: 2, 2: 8, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-96.52462947314777,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-156.39465576064705,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-124.33374782453994,"{0: 14, 1: 0, 2: 2, 3: 2, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-152.17690444139885,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-184.43266802178888,"{0: 13, 1: 5, 2: 3, 3: 1, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-84.21679506514539,"{0: 10, 1: 5, 2: 3, 3: 2, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-60.88576251412815,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-32.58299695295239,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-79.26161065719806,"{0: 13, 1: 4, 2: 8, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-129.98262297632596,"{0: 19, 1: 4, 2: 5, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-164.80885100811196,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-101.21223065030763,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
